Task,Status,Created At,Due Date,Notes
Buy groceries for the week,Pending,2024-01-15,2024-01-16,Need milk eggs bread and vegetables
Send project proposal to client,In Progress,2024-01-15,2024-01-17,Draft is ready - needs final review before sending
Schedule dentist appointment,Pending,2024-01-16,,Overdue by 6 months - call first thing Monday
Complete n8n automation course,In Progress,2024-01-16,2024-01-31,Currently on Module 3 - AI Agents section
Pay electricity bill,Done,2024-01-14,2024-01-15,Paid via online banking NT$3500
Prepare slides for team meeting,Pending,2024-01-17,2024-01-19,Cover Q1 results and Q2 roadmap
Read book: Zero to One,Pending,2024-01-10,2024-01-31,On chapter 5 currently
Submit expense report,Done,2024-01-12,2024-01-12,Submitted to HR - waiting approval
Review pull requests,In Progress,2024-01-18,,3 PRs pending from dev team
Plan team lunch,Pending,2024-01-18,2024-01-22,Budget NT$500 per person - find a restaurant
